MMM,N/A,3M Company Common Stock,N/A,104.53B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.20%,N/A,2272854,N/A,1945250
ABT,N/A,Abbott Laboratories Common Stoc,N/A,62.32B,N/A,2/1/2017,N/A,4:01pm,N/A,+1.34%,N/A,11948793,N/A,9257800
ABBV,N/A,AbbVie Inc. Common Stock,N/A,98.95B,N/A,2/1/2017,N/A,4:01pm,N/A,-0.36%,N/A,5888681,N/A,8019250
ACN,N/A,"Accenture plc Class A Ordinary ",N/A,70.49B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.58%,N/A,2471638,N/A,2537130
ATVI,N/A,"Activision Blizzard, Inc",N/A,30.08B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.65%,N/A,10384669,N/A,8720020
AYI,N/A,Acuity Brands Inc (Holding Comp,N/A,9.03B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.54%,N/A,1045770,N/A,686321
ADBE,N/A,Adobe Systems Incorporated,N/A,56.01B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.02%,N/A,1859067,N/A,2710850
AAP,N/A,"Advance Auto Parts Inc Advance ",N/A,11.83B,N/A,2/1/2017,N/A,4:02pm,N/A,-2.22%,N/A,1595047,N/A,1059780
AES,N/A,The AES Corporation Common Stoc,N/A,7.41B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.75%,N/A,6091599,N/A,5691710
AET,N/A,Aetna Inc. Common Stock,N/A,42.67B,N/A,2/1/2017,N/A,4:02pm,N/A,+2.53%,N/A,6713505,N/A,3289360
AMG,N/A,"Affiliated Managers Group, Inc.",N/A,8.61B,N/A,2/1/2017,N/A,4:02pm,N/A,+2.77%,N/A,1081702,N/A,631036
AFL,N/A,AFLAC Incorporated Common Stock,N/A,27.40B,N/A,2/1/2017,N/A,4:00pm,N/A,-4.07%,N/A,4609537,N/A,2280940
A,N/A,"Agilent Technologies, Inc. Comm",N/A,15.85B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.59%,N/A,2244604,N/A,2138440
APD,N/A,"Air Products and Chemicals, Inc",N/A,30.18B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.77%,N/A,1652320,N/A,1436870
AKAM,N/A,"Akamai Technologies, Inc.",N/A,11.91B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.16%,N/A,1579525,N/A,1716180
ALK,N/A,"Alaska Air Group, Inc. Common S",N/A,11.54B,N/A,2/1/2017,N/A,4:02pm,N/A,-0.20%,N/A,830162,N/A,1214620
ALB,N/A,Albemarle Corporation Common St,N/A,10.51B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.83%,N/A,855154,N/A,931468
AA,N/A,"Alcoa Corporation Common Stock ",N/A,6.63B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.52%,N/A,2905397,N/A,4755100
ALXN,N/A,"Alexion Pharmaceuticals, Inc.",N/A,29.63B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.25%,N/A,2327563,N/A,3179230
ALLE,N/A,Allegion plc Ordinary Shares,N/A,6.33B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.41%,N/A,685355,N/A,759545
AGN,N/A,Allergan plc Ordinary Shares,N/A,86.01B,N/A,2/1/2017,N/A,4:00pm,N/A,+4.76%,N/A,6637165,N/A,5209500
ADS,N/A,Alliance Data Systems Corporati,N/A,13.27B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.88%,N/A,594786,N/A,595308
LNT,N/A,Alliant Energy Corporation Comm,N/A,8.41B,N/A,2/1/2017,N/A,4:04pm,N/A,-1.78%,N/A,1191065,N/A,1118420
ALL,N/A,Allstate Corporation (The) Comm,N/A,27.71B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.04%,N/A,2411685,N/A,2245420
GOOGL,N/A,Alphabet Inc.,N/A,563.57B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.60%,N/A,2251047,N/A,1926270
GOOG,N/A,Alphabet Inc.,N/A,550.06B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.137%,N/A,2029744,N/A,1734750
MO,N/A,"Altria Group, Inc.",N/A,139.35B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.30%,N/A,11416270,N/A,6955240
AMZN,N/A,"Amazon.com, Inc.",N/A,395.50B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.08%,N/A,3850181,N/A,4077650
AEE,N/A,Ameren Corporation Common Stock,N/A,12.56B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.71%,N/A,1076857,N/A,1380140
AAL,N/A,"American Airlines Group, Inc.",N/A,22.67B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.45%,N/A,7955513,N/A,6730660
